lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
38.0321842,-78.478702,,Office Building,1953.0,1253.0,10.0,1.0,"310 4TH ST Charlottesville, VA",310 4TH ST,Commercial,0,0.0,0.0
38.0298931,-78.472042,,Office Building,1951.0,2895.0,12.0,1.0,"1011 JEFFERSON ST Charlottesville, VA",1011 JEFFERSON ST,Commercial,0,0.0,0.0
38.0340472,-78.4787686,R,Office Building,2002.0,3008.0,12.0,1.0,"440 2ND ST Charlottesville, VA",440 2ND ST,Commercial,0,0.0,0.0
0.0,0.0,,Elementary Sch (Entire),1930.0,36789.0,12.0,3.0,"100 SOUTH ST Charlottesville, VA",100 SOUTH ST,Commercial,0,0.0,0.0
38.0450754,-78.5036803,R,Industrial Light Manufacturing,1931.0,26650.0,12.0,5.0,"136 UNIVERSITY GDNS Charlottesville, VA",136 UNIVERSITY GDNS,Commercial,0,0.0,0.0
38.0405913,-78.498746,R,Industrial Light Manufacturing,1931.0,10000.0,12.0,1.0,"507 16TH ST Charlottesville, VA",507 16TH ST,Commercial,0,0.0,0.0
38.0241316,-78.462823,R,Office Building,1940.0,257.0,12.0,1.0,"1518 MARKET ST Charlottesville, VA",1518 MARKET ST,Commercial,0,0.0,0.0
38.0241316,-78.462823,R,Commercial,1942.0,6848.0,12.0,2.0,"1518 MARKET ST Charlottesville, VA",1518 MARKET ST,Commercial,0,0.0,0.0
38.0413568,-78.49384649999998,R,Apartments 1-10 units,2000.0,4320.0,8.0,2.0,"714 MADISON AVE Charlottesville, VA",714 MADISON AVE,Commercial,0,0.0,0.0
38.0181061,-78.51312880100299,R,Apartments 1-10 units,1969.0,2860.0,8.0,2.0,"2603 JEFFERSON PARK AVE Charlottesville, VA",2603 JEFFERSON PARK AVE,Commercial,0,0.0,0.0
38.06322370000001,-78.49334879999998,R,Apartments 1-10 units,1993.0,4752.0,8.0,2.0,"1920 SWANSON DR Charlottesville, VA",1920 SWANSON DR,Commercial,0,0.0,0.0
38.06322370000001,-78.49334879999998,R,Commercial,1960.0,3420.0,14.0,1.0,"1920 SWANSON DR Charlottesville, VA",1920 SWANSON DR,Commercial,0,0.0,0.0
38.059051906765596,-78.4891141581896,C,Commercial,1975.0,13200.0,12.0,1.0,"1718 HYDRAULIC RD Charlottesville, VA",1718 HYDRAULIC RD,Commercial,0,0.0,0.0
38.06322370000001,-78.49334879999998,R,Multiple Commercial Use,1969.0,11600.0,20.0,1.0,"1920 SWANSON DR Charlottesville, VA",1920 SWANSON DR,Commercial,0,0.0,0.0
38.021361,-78.48679200000001,R,Office Building,1984.0,10096.0,10.0,1.0,"900 1ST ST Charlottesville, VA",900 1ST ST,Commercial,1,0.0,1.0
38.04351030000001,-78.4556788,R,Multiple Commercial Use,1920.0,3238.0,10.0,2.0,"1115 RIVER CT Charlottesville, VA",1115 RIVER CT,Commercial,0,0.0,0.0
38.036072600000004,-78.49973472559671,R,Church,1940.0,288.0,12.0,2.0,"604 15TH ST Charlottesville, VA",604 15TH ST,Commercial,0,0.0,0.0
38.0626715550489,-78.49668038532491,R,Convenience Market,1953.0,5153.0,12.0,1.0,"2302 NORTH BERKSHIRE RD Charlottesville, VA",2302 NORTH BERKSHIRE RD,Commercial,0,0.0,0.0
38.031740299999996,-78.48190140000001,C,Office Building,1948.0,2361.0,10.0,1.0,"1117 MARKET ST Charlottesville, VA",1117 MARKET ST,Commercial,0,0.0,0.0
38.0629536,-78.4967128,R,Apartments 11-20 Units,2012.0,17187.0,12.0,3.0,"2302 NORTH BERKSHIRE RD Charlottesville, VA",2302 NORTH BERKSHIRE RD,Commercial,0,0.0,0.0
0.0,0.0,R,Apartments 11-20 Units,2012.0,6360.0,14.0,1.0,"313 13TH ST Charlottesville, VA",313 13TH ST,Commercial,0,0.0,0.0
